"Formula","S1","S2","S4","S5","S6","S7","S8","S9","S10","S12","S13","S14","S15","S17","S18","S19"
"C30H54","6722185","10015578","30875598","25043974","37167636","19147122","4015462","11131638","1701628","6824330","37038404","16593084","9862314","3338896","26830034","2879981"
"C31H56","6674470","10898212","34891528","33713732","34458660","18077626","5808126","11436330","2333765","5533184","37162924","14396132","8386363","1737976","23034932","2697325"
"C32H58","6832022","9716661","46022796","27547584","36655780","13383912","6878278","9213781","2064546","5621060","30853146","11941650","7533298","1817376","19854136","2533148"
"C33H60","5204895","8604719","45112100","26836898","32528236","15071920","10226258","9097622","1270600","4375631","22147732","12485026","6392910","1490133","20564578","2695990"
"C34H62","4698158","8417096","40461776","26547820","30031104","12167857","20806078","7980012","1899889","3926049","23330430","12556109","5769164","1394042","16986616","1746935"
"C35H64","3799348","5243190","28930078","21376256","32892380","12957321","16513688","6986450","1415341","3897335","20753040","12875371","3564942","1653700","19405264","1847965"
"C36H66","2617904","4943410","30042550","28169280","30733402","11451523","26793074","6783038","1220824","2738296","17270132","10790349","4340165","6555565","16327103","1273592"
"C37H68","3275232","3696147","25002564","20561160","19056622","10878400","28683650","6097285","1881477","3347654","18501088","9530435","5015099","17623560","15927701","1064868"
"C38H70","3534878","4125877","25033130","22202196","23317820","9800746","37663684","4220937","6001818","2956310","16151439","9142580","4632756","25528376","16027949","1353037"
"C39H72","2754748","4508548","22601734","20267542","21737668","9574823","40228460","3686385","13643237","2001233","18831304","6572071","4282120","30217340","15685748","1283745"
"C40H74","2200514","4045798","18748790","17824826","19009292","8648731","42014892","2886874","19883502","2357402","14506996","6827606","3476599","24643512","12582746","1218610"
"C41H76","1374518","2987862","22850092","15934629","19879316","7082211","40979876","3659091","23774380","1486971","15475063","5581058","2183549","37342608","12649936","4199261"
"C42H78","1190669","2671837","16608961","15809183","17503790","5729466","41678368","3603437","18146414","1649316","14604529","4496619","2476703","33515092","12897293","6462578"
"C43H80","1851226","2091736","17183734","14159748","17449936","5203028","28876996","3665837","32757452","5380887","13693274","4270481","1767519","33481156","11801391","7360395"
"C44H82","1659166","1785781","15760019","13645147","15163761","4770915","35355668","3331131","32686044","16439030","12433779","4332354","1880791","50258852","10732671","10042153"
"C45H84","1973364","1936862","14803679","11978287","14254586","4503853","28878492","1689420","34765576","20083148","12052478","3909187","2292129","46348168","9808199","17825990"
"C46H86","1214381","1798635","12891136","12194812","12687010","4583595","30764856","1787021","51729352","25525492","11078762","3352314","1983567","54759040","8690254","19573100"
"C47H88","1315393","1670313","11764976","9129666","11693723","4902925","28247614","1601905","46343536","24871986","8673360","3125295","1774194","58972084","7441918","24565346"
"C48H90","1247376","1530089","8494266","9470890","9697533","3945607","23252074","1560391","51837308","35020452","8850866","1989311","2075611","48874060","5543439","25698752"
"C49H92","1346140","1160031","8999882","8120232","7744732","2344788","29708918","2140509","53522464","31732094","9283218","1630102","1269280","37363044","4820023","32951772"
"C50H94","6172675","1168643","8385501","7645102","8675673","2999174","22722838","1930561","49011068","33817172","7634015","1543075","1394482","40884308","5366376","31497824"
"C51H96","17677430","1354038","7927488","6863150","7613892","2646733","22814854","6960838","36394412","43769380","5801425","2439140","4992359","38830736","5006373","39681788"
"C52H98","26177214","5796011","8138198","5549277","8104314","1976586","22587494","16531786","43209688","42407264","5773525","1763690","11505942","35965848","4116896","40137532"
